"","Matrix","Taxa","Characters","Living","Source","Tax.level"
"2","GL1988-GH.nex","Outgroup","116",NA,NA,NA
"3","GL1988-GH.nex","Entelodontidae","116",NA,NA,NA
"4","GL1988-GH.nex","Tayassuidae","116","TRUE","Wilson & Reeder","Family"
"5","GL1988-GH.nex","Suidae","116","TRUE","Wilson & Reeder","Family"
"6","GL1988-GH.nex","Cebochoeridae","116",NA,NA,NA
"7","GL1988-GH.nex","Achaenodon","116","FALSE","Paleobio database","Genus"
"8","GL1988-GH.nex","Helohyus","116","FALSE","Paleobio database","Genus"
"9","GL1988-GH.nex","Raoellidae","116",NA,NA,NA
"10","GL1988-GH.nex","Gobiohyus","116","FALSE","Paleobio database","Genus"
"11","GL1988-GH.nex","Choeropotamidae","116",NA,NA,NA
"12","GL1988-GH.nex","Anthracotherium","116","FALSE","Paleobio database","Genus"
"13","GL1988-GH.nex","Anthracothema","116","FALSE","Paleobio database","Genus"
"14","GL1988-GH.nex","Bothriodontinae","116",NA,NA,NA
"15","GL1988-GH.nex","Hippopotamidae","116","TRUE","Wilson & Reeder","Family"
"16","GL1988-GH.nex","Diacodexis_pakistanensis","116","FALSE","Paleobio database","Species"
"17","GL1988-GH.nex","Bunomerycidae","116",NA,NA,NA
"18","GL1988-GH.nex","Agriochoeridae","116",NA,NA,NA
"19","GL1988-GH.nex","Merycoidodontidae","116",NA,NA,NA
"20","GL1988-GH.nex","Mixtotheriidae","116",NA,NA,NA
"21","GL1988-GH.nex","Cainotheriidae","116",NA,NA,NA
"22","GL1988-GH.nex","Anoplotheriinae","116",NA,NA,NA
"23","GL1988-GH.nex","Dacrytheriinae","116",NA,NA,NA
"24","GL1988-GH.nex","Xiphodontidae","116",NA,NA,NA
"25","GL1988-GH.nex","Protoceratidae","116",NA,NA,NA
"26","GL1988-GH.nex","0romerycidae","116",NA,NA,NA
"27","GL1988-GH.nex","Camelidae","116","TRUE","Wilson & Reeder","Family"
"28","GL1988-GH.nex","Leptochoeridae","116",NA,NA,NA
"29","GL1988-GH.nex","Diacodexis_metsiacus","116","FALSE","Paleobio database","Species"
"30","GL1988-GH.nex","Microsus","116","FALSE","Paleobio database","Genus"
"31","GL1988-GH.nex","Antiacodon","116","FALSE","Paleobio database","Genus"
"32","GL1988-GH.nex","Homacodon","116","FALSE","Paleobio database","Genus"
"33","GL1988-GH.nex","Protodichobune","116",NA,NA,NA
"34","GL1988-GH.nex","Diacodexis_varleti","116","FALSE","Paleobio database","Genus"
"35","GL1988-GH.nex","Messelobunodon","116","FALSE","Paleobio database","Genus"
"36","GL1988-GH.nex","Dichobuninae","116",NA,NA,NA
"37","GL1988-GH.nex","Hyperdichobuninae","116",NA,NA,NA
"38","GL1988-GH.nex","Amphimerycidae","116",NA,NA,NA
"39","GL1988-GH.nex","Hypertragulidae","116",NA,NA,NA
"40","GL1988-GH.nex","Tragulidae","116","TRUE","Wilson & Reeder","Family"
"41","GL1988-GH.nex","Leptomerycidae","116",NA,NA,NA
"42","GL1989-H.nex","Lambdotherium","67","FALSE","Paleobio database","Genus"
"43","GL1989-H.nex","Plagiolophus_annectens","67","FALSE","Paleobio database","Species"
"44","GL1989-H.nex","Plagiolophus_sp_I","67","FALSE","Paleobio database","Genus"
"45","GL1989-H.nex","Propalaeotherium_hassiacum","67","FALSE","Paleobio database","Species"
"46","GL1989-H.nex","Propachynolophus_gaudryi","67","FALSE","Paleobio database","Species"
"47","GL1989-H.nex","Lophiotherium","67","FALSE","Paleobio database","Genus"
"48","GL1989-H.nex","Propalaeotherium_messelense","67","FALSE","Paleobio database","Genus"
"49","GL1989-H.nex","Propachynolophus_maldani","67","FALSE","Paleobio database","Genus"
"50","GL1989-H.nex","Palaeotherium","67","FALSE","Paleobio database","Genus"
"51","GL1989-H.nex","Hyracotherium_leporinum","67","FALSE","Paleobio database","Species"
"52","GL1989-H.nex","Hyracotherium_vulpiceps","67","FALSE","Paleobio database","Species"
"53","GL1989-H.nex","Hyracotherium_vulpiceps_aff","67","FALSE","Paleobio database","Species"
"54","GL1989-H.nex","Hyracotherium_vasacciense","67","FALSE","Paleobio database","Species"
"55","GL1989-H.nex","Hyracotherium_tapirinum","67","FALSE","Paleobio database","Genus"
"56","GL1989-H.nex","Cymbalophus","67",NA,NA,NA
"57","GL1989-H.nex","Anchilophus","67","FALSE","Paleobio database","Genus"
"58","GL1989-H.nex","Pachynolophus","67","FALSE","Paleobio database","Genus"
"59","GL1989-H.nex","Hyracotherium","67","FALSE","Paleobio database","Genus"
"60","GL1989-H.nex","Triplopus","67","FALSE","Paleobio database","Genus"
"61","GL1989-H.nex","Chasmotherium","67",NA,NA,NA
"62","GL1989-H.nex","Hyrachyus","67","FALSE","Paleobio database","Genus"
"63","GL1989-H.nex","Protapirus","67","FALSE","Paleobio database","Genus"
"64","GL1989-H.nex","Colodon_occidentalis","67","FALSE","Paleobio database","Species"
"65","GL1989-H.nex","Helaletes","67","FALSE","Paleobio database","Genus"
"66","GL1989-H.nex","Heptodon","67","FALSE","Paleobio database","Genus"
"67","GL1989-H.nex","Lophialetes","67","FALSE","Paleobio database","Genus"
"68","GL1989-H.nex","Eoletes","67","FALSE","Paleobio database","Genus"
"69","GL1989-H.nex","Schlosseria","67",NA,NA,NA
"70","GL1989-H.nex","Rhodopagus","67","FALSE","Paleobio database","Genus"
"71","GL1989-H.nex","Teleolophus","67","FALSE","Paleobio database","Genus"
"72","GL1989-H.nex","Breviodon","67","FALSE","Paleobio database","Genus"
"73","GL1989-H.nex","Eomoropus","67","FALSE","Paleobio database","Genus"
"74","GL1989-H.nex","Lophiaspis_maurettei","67","FALSE","Paleobio database","Species"
"75","GL1989-H.nex","Paralophiodon_buchswillanum","67","FALSE","Paleobio database","Genus"
"76","GL1989-H.nex","Lophiodon","67","FALSE","Paleobio database","Genus"
"77","GL1989-H.nex","Kalakotia","67","FALSE","Paleobio database","Genus"
"78","GL1989-H.nex","Isectolophus","67","FALSE","Paleobio database","Genus"
"79","GL1989-H.nex","Homogalax_protapirinus","67","FALSE","Paleobio database","Species"
"80","GL1989-H.nex","Homogalax_sp_I","67","FALSE","Paleobio database","Genus"
"81","GL1989-H.nex","Eotitanops","67","FALSE","Paleobio database","Genus"
"82","GL1992-T.nex","Tetraclaenodon","10","FALSE","Paleobio database","Genus"
"83","GL1992-T.nex","Ectocion_collinus","10","FALSE","Paleobio database","Species"
"84","GL1992-T.nex","Ectocion_cedrus","10","FALSE","Paleobio database","Species"
"85","GL1992-T.nex","Ectocion_mediotuber","10","FALSE","Paleobio database","Species"
"86","GL1992-T.nex","Ectocion_osbornianus","10","FALSE","Paleobio database","Species"
"87","GL1992-T.nex","Ectocion_parvus","10","FALSE","Paleobio database","Species"
"88","GL1992-T.nex","Ectocion_major","10","FALSE","Paleobio database","Species"
"89","GL1992-T.nex","Ectocion_superstes","10","FALSE","Paleobio database","Species"
"90","GL1994-B.nex","Odobenidae","40","TRUE","Wilson & Reeder","Family"
"91","GL1994-B.nex","Pteronarctos","40","FALSE","Paleobio database","Genus"
"92","GL1994-B.nex","Otariidae","40","TRUE","Wilson & Reeder","Family"
"93","GL1994-B.nex","Pinnarctidon_bishopi","40",NA,NA,NA
"94","GL1994-B.nex","Pinnarctidion_rayi","40","FALSE","Paleobio database","Species"
"95","GL1994-B.nex","Allodesmus","40","FALSE","Paleobio database","Genus"
"96","GL1994-B.nex","Desmatophoca","40","FALSE","Paleobio database","Genus"
"97","GL1994-B.nex","Phocidae","40","TRUE","Wilson & Reeder","Family"
"98","GL1995-A.nex","Merychippus_primus","56","FALSE","Paleobio database","Species"
"99","GL1995-A.nex","Merychippus_sejunctus_nr","56","FALSE","Paleobio database","Species"
"100","GL1995-A.nex","Merychippus_coloradense","56","FALSE","Paleobio database","Species"
"101","GL1995-A.nex","Pseudohipparion_retrusum","56",NA,NA,NA
"102","GL1995-A.nex","Pseudohipparion_gratum","56",NA,NA,NA
"103","GL1995-A.nex","Hipparion_shirleyae","56","FALSE","Paleobio database","Genus"
"104","GL1995-A.nex","Merychippu_insignis","56",NA,NA,NA
"105","GL1995-A.nex","Neohipparion_affine","56","FALSE","Paleobio database","Species"
"106","GL1995-A.nex","Neohipparion_trampasense","56","FALSE","Paleobio database","Species"
"107","GL1995-A.nex","Cormohipparion_goorisi","56","FALSE","Paleobio database","Species"
"108","GL1995-A.nex","Cormohipparion_sphenodus","56","FALSE","Paleobio database","Species"
"109","GL1995-A.nex","Cormohipparion_dolichops","56","FALSE","Paleobio database","Species"
"110","GL1995-A.nex","Cormohipparion_occidentale","56","FALSE","Paleobio database","Species"
"111","GL1995-A.nex","Hipparion_tehonense","56","FALSE","Paleobio database","Species"
"112","GL1995-A.nex","Hipparion_forcei","56","FALSE","Paleobio database","Species"
"113","GL1995-A.nex","Nannippus_lenticularis","56","FALSE","Paleobio database","Species"
"114","GL1995-A.nex","Nannippus_peninsulatus","56","FALSE","Paleobio database","Species"
"115","GL1995-G.nex","Pholidota","85",NA,NA,NA
"116","GL1995-G.nex","Palaeanodon","85","FALSE","Paleobio database","Genus"
"117","GL1995-G.nex","Metacheiromys","85","FALSE","Paleobio database","Genus"
"118","GL1995-G.nex","Glyptodonta","85",NA,NA,NA
"119","GL1995-G.nex","Euphracta","85",NA,NA,NA
"120","GL1995-G.nex","Dasypodidae","85","TRUE","Wilson & Reeder","Family"
"121","GL1995-G.nex","Cyclopes","85","TRUE","Wilson & Reeder","Genus"
"122","GL1995-G.nex","Myrmecophaginae","85",NA,NA,NA
"123","GL1995-G.nex","Octodontotherium","85","FALSE","Paleobio database","Genus"
"124","GL1995-G.nex","Pseudoprepotherium","85","FALSE","Paleobio database","Genus"
"125","GL1995-G.nex","Lestodon","85","FALSE","Paleobio database","Genus"
"126","GL1995-G.nex","Glossotherium_slash_Para","85","FALSE","Paleobio database","Genus"
"127","GL1995-G.nex","Catonyx","85","FALSE","Paleobio database","Genus"
"128","GL1995-G.nex","Scelidotherium","85","FALSE","Paleobio database","Genus"
"129","GL1995-G.nex","Mylodon","85","FALSE","Paleobio database","Genus"
"130","GL1995-G.nex","Choloepus","85","TRUE","Wilson & Reeder","Genus"
"131","GL1995-G.nex","Acratocnus","85","FALSE","Paleobio database","Genus"
"132","GL1995-G.nex","Megalocnus","85","FALSE","Paleobio database","Genus"
"133","GL1995-G.nex","Megalonyx","85","FALSE","Paleobio database","Genus"
